[2025-04-09 13:35:26,215][__main__][INFO] - System information:
[2025-04-09 13:35:26,215][__main__][INFO] -   Platform: Linux-6.11.0-21-generic-x86_64-with-glibc2.39
[2025-04-09 13:35:26,215][__main__][INFO] -   Python: 3.12.2
[2025-04-09 13:35:26,215][__main__][INFO] -   PyTorch: 2.5.1
[2025-04-09 13:35:26,215][__main__][INFO] -   CUDA Available: True
[2025-04-09 13:35:26,215][__main__][INFO] -   CUDA Version: 12.4
[2025-04-09 13:35:26,215][__main__][INFO] -   GPU: NVIDIA GeForce GTX 1080 Ti
[2025-04-09 13:35:26,303][__main__][INFO] - Env: HalfCheetah-v5  state_dim: 17  action_dim: 6  max_a: 1.0  min_a: -1.0  max_e_steps: 1000
[2025-04-09 13:35:26,305][__main__][INFO] - Random Seed: 42
[2025-04-09 13:35:26,305][__main__][INFO] - Models will be saved to models/SAC_model/HCv5
[2025-04-09 13:36:17,106][__main__][INFO] - EnvName: HCv5, Steps: 1k, Episode Reward: -121
[2025-04-09 13:37:02,748][__main__][INFO] - EnvName: HCv5, Steps: 2k, Episode Reward: -260
[2025-04-09 13:37:45,078][__main__][INFO] - EnvName: HCv5, Steps: 3k, Episode Reward: -433
[2025-04-09 13:38:34,527][__main__][INFO] - EnvName: HCv5, Steps: 4k, Episode Reward: -608
[2025-04-09 13:39:23,052][__main__][INFO] - EnvName: HCv5, Steps: 5k, Episode Reward: -559
[2025-04-09 13:40:04,615][__main__][INFO] - EnvName: HCv5, Steps: 6k, Episode Reward: -415
[2025-04-09 13:40:57,038][__main__][INFO] - EnvName: HCv5, Steps: 7k, Episode Reward: -335
[2025-04-09 13:41:38,433][__main__][INFO] - EnvName: HCv5, Steps: 8k, Episode Reward: -417
[2025-04-09 13:42:31,970][__main__][INFO] - EnvName: HCv5, Steps: 9k, Episode Reward: -433
[2025-04-09 13:43:25,382][__main__][INFO] - EnvName: HCv5, Steps: 10k, Episode Reward: -486
[2025-04-09 13:44:07,934][__main__][INFO] - EnvName: HCv5, Steps: 11k, Episode Reward: -539
[2025-04-09 13:44:47,539][__main__][INFO] - EnvName: HCv5, Steps: 12k, Episode Reward: -404
[2025-04-09 13:45:34,195][__main__][INFO] - EnvName: HCv5, Steps: 13k, Episode Reward: -432
[2025-04-09 13:46:24,610][__main__][INFO] - EnvName: HCv5, Steps: 14k, Episode Reward: -408
[2025-04-09 13:47:10,068][__main__][INFO] - EnvName: HCv5, Steps: 15k, Episode Reward: -446
[2025-04-09 13:48:02,133][__main__][INFO] - EnvName: HCv5, Steps: 16k, Episode Reward: -544
[2025-04-09 13:48:49,658][__main__][INFO] - EnvName: HCv5, Steps: 17k, Episode Reward: -752
[2025-04-09 13:49:35,107][__main__][INFO] - EnvName: HCv5, Steps: 18k, Episode Reward: -688
