[2025-04-05 15:56:55,841][__main__][INFO] - System information:
[2025-04-05 15:56:55,841][__main__][INFO] -   Platform: Linux-6.11.0-21-generic-x86_64-with-glibc2.39
[2025-04-05 15:56:55,841][__main__][INFO] -   Python: 3.12.2
[2025-04-05 15:56:55,841][__main__][INFO] -   PyTorch: 2.5.1
[2025-04-05 15:56:55,841][__main__][INFO] -   CUDA Available: True
[2025-04-05 15:56:55,841][__main__][INFO] -   CUDA Version: 12.4
[2025-04-05 15:56:55,841][__main__][INFO] -   GPU: NVIDIA GeForce GTX 1080 Ti
[2025-04-05 15:56:55,847][__main__][INFO] - Env: LunarLanderContinuous-v3  state_dim: 8  action_dim: 2  max_a: 1.0  min_a: -1.0  max_e_steps: 1000
[2025-04-05 15:56:55,848][__main__][INFO] - Random Seed: 42
[2025-04-05 15:56:55,848][__main__][INFO] - Models will be saved to models/SAC_model/LLdV3
[2025-04-05 15:57:19,070][__main__][INFO] - EnvName: LLdV3, Steps: 1k, Episode Reward: -716
[2025-04-05 15:57:43,561][__main__][INFO] - EnvName: LLdV3, Steps: 2k, Episode Reward: -737
[2025-04-05 15:58:07,822][__main__][INFO] - EnvName: LLdV3, Steps: 3k, Episode Reward: -532
[2025-04-05 15:58:30,937][__main__][INFO] - EnvName: LLdV3, Steps: 4k, Episode Reward: -340
[2025-04-05 15:58:54,670][__main__][INFO] - EnvName: LLdV3, Steps: 5k, Episode Reward: -333
[2025-04-05 15:59:16,925][__main__][INFO] - EnvName: LLdV3, Steps: 6k, Episode Reward: -228
[2025-04-05 15:59:42,921][__main__][INFO] - EnvName: LLdV3, Steps: 7k, Episode Reward: -160
[2025-04-05 16:00:10,658][__main__][INFO] - EnvName: LLdV3, Steps: 8k, Episode Reward: -135
[2025-04-05 16:00:40,141][__main__][INFO] - EnvName: LLdV3, Steps: 9k, Episode Reward: -82
[2025-04-05 16:01:09,809][__main__][INFO] - EnvName: LLdV3, Steps: 10k, Episode Reward: -92
[2025-04-05 16:01:38,257][__main__][INFO] - EnvName: LLdV3, Steps: 11k, Episode Reward: -83
[2025-04-05 16:02:09,432][__main__][INFO] - EnvName: LLdV3, Steps: 12k, Episode Reward: -63
[2025-04-05 16:02:40,756][__main__][INFO] - EnvName: LLdV3, Steps: 13k, Episode Reward: -95
[2025-04-05 16:03:09,042][__main__][INFO] - EnvName: LLdV3, Steps: 14k, Episode Reward: -103
[2025-04-05 16:03:39,716][__main__][INFO] - EnvName: LLdV3, Steps: 15k, Episode Reward: -172
[2025-04-05 16:04:10,472][__main__][INFO] - EnvName: LLdV3, Steps: 16k, Episode Reward: -125
[2025-04-05 16:04:41,122][__main__][INFO] - EnvName: LLdV3, Steps: 17k, Episode Reward: -76
[2025-04-05 16:05:09,346][__main__][INFO] - EnvName: LLdV3, Steps: 18k, Episode Reward: -120
[2025-04-05 16:05:41,147][__main__][INFO] - EnvName: LLdV3, Steps: 19k, Episode Reward: -71
[2025-04-05 16:06:11,278][__main__][INFO] - EnvName: LLdV3, Steps: 20k, Episode Reward: -123
[2025-04-05 16:06:40,885][__main__][INFO] - EnvName: LLdV3, Steps: 21k, Episode Reward: -96
[2025-04-05 16:07:10,305][__main__][INFO] - EnvName: LLdV3, Steps: 22k, Episode Reward: -106
[2025-04-05 16:07:41,660][__main__][INFO] - EnvName: LLdV3, Steps: 23k, Episode Reward: -120
[2025-04-05 16:08:13,541][__main__][INFO] - EnvName: LLdV3, Steps: 24k, Episode Reward: -106
[2025-04-05 16:08:44,234][__main__][INFO] - EnvName: LLdV3, Steps: 25k, Episode Reward: -101
[2025-04-05 16:09:12,795][__main__][INFO] - EnvName: LLdV3, Steps: 26k, Episode Reward: -58
[2025-04-05 16:09:44,307][__main__][INFO] - EnvName: LLdV3, Steps: 27k, Episode Reward: -44
[2025-04-05 16:10:10,928][__main__][INFO] - EnvName: LLdV3, Steps: 28k, Episode Reward: -28
[2025-04-05 16:10:40,146][__main__][INFO] - EnvName: LLdV3, Steps: 29k, Episode Reward: -18
[2025-04-05 16:11:06,706][__main__][INFO] - EnvName: LLdV3, Steps: 30k, Episode Reward: -59
[2025-04-05 16:11:35,187][__main__][INFO] - EnvName: LLdV3, Steps: 31k, Episode Reward: 83
[2025-04-05 16:12:03,742][__main__][INFO] - EnvName: LLdV3, Steps: 32k, Episode Reward: -20
[2025-04-05 16:12:32,630][__main__][INFO] - EnvName: LLdV3, Steps: 33k, Episode Reward: -29
[2025-04-05 16:13:01,332][__main__][INFO] - EnvName: LLdV3, Steps: 34k, Episode Reward: 73
[2025-04-05 16:13:30,304][__main__][INFO] - EnvName: LLdV3, Steps: 35k, Episode Reward: -92
[2025-04-05 16:13:58,868][__main__][INFO] - EnvName: LLdV3, Steps: 36k, Episode Reward: 19
[2025-04-05 16:14:26,670][__main__][INFO] - EnvName: LLdV3, Steps: 37k, Episode Reward: 75
[2025-04-05 16:14:54,758][__main__][INFO] - EnvName: LLdV3, Steps: 38k, Episode Reward: -55
[2025-04-05 16:15:19,167][__main__][INFO] - EnvName: LLdV3, Steps: 39k, Episode Reward: -52
[2025-04-05 16:15:45,581][__main__][INFO] - EnvName: LLdV3, Steps: 40k, Episode Reward: -34
[2025-04-05 16:16:11,832][__main__][INFO] - EnvName: LLdV3, Steps: 41k, Episode Reward: -1019
[2025-04-05 16:16:39,317][__main__][INFO] - EnvName: LLdV3, Steps: 42k, Episode Reward: -1218
[2025-04-05 16:17:05,810][__main__][INFO] - EnvName: LLdV3, Steps: 43k, Episode Reward: -450
[2025-04-05 16:17:32,754][__main__][INFO] - EnvName: LLdV3, Steps: 44k, Episode Reward: -586
[2025-04-05 16:17:59,925][__main__][INFO] - EnvName: LLdV3, Steps: 45k, Episode Reward: -298
[2025-04-05 16:18:25,449][__main__][INFO] - EnvName: LLdV3, Steps: 46k, Episode Reward: -208
[2025-04-05 16:18:51,167][__main__][INFO] - EnvName: LLdV3, Steps: 47k, Episode Reward: -34
[2025-04-05 16:19:15,222][__main__][INFO] - EnvName: LLdV3, Steps: 48k, Episode Reward: -48
[2025-04-05 16:19:41,411][__main__][INFO] - EnvName: LLdV3, Steps: 49k, Episode Reward: -262
[2025-04-05 16:20:04,090][__main__][INFO] - EnvName: LLdV3, Steps: 50k, Episode Reward: -232
[2025-04-05 16:20:29,784][__main__][INFO] - EnvName: LLdV3, Steps: 51k, Episode Reward: 37
[2025-04-05 16:20:54,672][__main__][INFO] - EnvName: LLdV3, Steps: 52k, Episode Reward: 18
[2025-04-05 16:21:19,731][__main__][INFO] - EnvName: LLdV3, Steps: 53k, Episode Reward: 90
[2025-04-05 16:21:46,837][__main__][INFO] - EnvName: LLdV3, Steps: 54k, Episode Reward: 31
[2025-04-05 16:22:12,233][__main__][INFO] - EnvName: LLdV3, Steps: 55k, Episode Reward: 18
[2025-04-05 16:22:38,057][__main__][INFO] - EnvName: LLdV3, Steps: 56k, Episode Reward: 95
[2025-04-05 16:23:04,393][__main__][INFO] - EnvName: LLdV3, Steps: 57k, Episode Reward: 76
[2025-04-05 16:23:29,893][__main__][INFO] - EnvName: LLdV3, Steps: 58k, Episode Reward: 58
[2025-04-05 16:23:55,791][__main__][INFO] - EnvName: LLdV3, Steps: 59k, Episode Reward: 131
[2025-04-05 16:24:20,767][__main__][INFO] - EnvName: LLdV3, Steps: 60k, Episode Reward: 147
[2025-04-05 16:24:47,005][__main__][INFO] - EnvName: LLdV3, Steps: 61k, Episode Reward: 49
[2025-04-05 16:25:11,172][__main__][INFO] - EnvName: LLdV3, Steps: 62k, Episode Reward: 128
[2025-04-05 16:25:37,987][__main__][INFO] - EnvName: LLdV3, Steps: 63k, Episode Reward: 92
[2025-04-05 16:26:03,578][__main__][INFO] - EnvName: LLdV3, Steps: 64k, Episode Reward: 86
[2025-04-05 16:26:30,687][__main__][INFO] - EnvName: LLdV3, Steps: 65k, Episode Reward: 110
[2025-04-05 16:26:56,131][__main__][INFO] - EnvName: LLdV3, Steps: 66k, Episode Reward: 124
[2025-04-05 16:27:23,323][__main__][INFO] - EnvName: LLdV3, Steps: 67k, Episode Reward: 23
[2025-04-05 16:27:50,885][__main__][INFO] - EnvName: LLdV3, Steps: 68k, Episode Reward: 79
[2025-04-05 16:28:17,038][__main__][INFO] - EnvName: LLdV3, Steps: 69k, Episode Reward: 42
[2025-04-05 16:28:44,100][__main__][INFO] - EnvName: LLdV3, Steps: 70k, Episode Reward: 164
[2025-04-05 16:29:09,187][__main__][INFO] - EnvName: LLdV3, Steps: 71k, Episode Reward: 111
[2025-04-05 16:29:36,541][__main__][INFO] - EnvName: LLdV3, Steps: 72k, Episode Reward: 93
[2025-04-05 16:30:02,758][__main__][INFO] - EnvName: LLdV3, Steps: 73k, Episode Reward: 40
[2025-04-05 16:30:31,402][__main__][INFO] - EnvName: LLdV3, Steps: 74k, Episode Reward: 54
[2025-04-05 16:30:57,253][__main__][INFO] - EnvName: LLdV3, Steps: 75k, Episode Reward: 91
[2025-04-05 16:31:25,429][__main__][INFO] - EnvName: LLdV3, Steps: 76k, Episode Reward: 22
[2025-04-05 16:31:53,267][__main__][INFO] - EnvName: LLdV3, Steps: 77k, Episode Reward: 86
[2025-04-05 16:32:20,386][__main__][INFO] - EnvName: LLdV3, Steps: 78k, Episode Reward: 16
[2025-04-05 16:32:48,761][__main__][INFO] - EnvName: LLdV3, Steps: 79k, Episode Reward: 71
[2025-04-05 16:33:11,347][__main__][INFO] - EnvName: LLdV3, Steps: 80k, Episode Reward: 110
[2025-04-05 16:33:38,416][__main__][INFO] - EnvName: LLdV3, Steps: 81k, Episode Reward: 85
