[2025-04-06 15:14:08,685][__main__][INFO] - System information:
[2025-04-06 15:14:08,686][__main__][INFO] -   Platform: Linux-6.11.0-21-generic-x86_64-with-glibc2.39
[2025-04-06 15:14:08,686][__main__][INFO] -   Python: 3.12.2
[2025-04-06 15:14:08,686][__main__][INFO] -   PyTorch: 2.5.1
[2025-04-06 15:14:08,686][__main__][INFO] -   CUDA Available: True
[2025-04-06 15:14:08,686][__main__][INFO] -   CUDA Version: 12.4
[2025-04-06 15:14:08,686][__main__][INFO] -   GPU: NVIDIA GeForce GTX 1080 Ti
[2025-04-06 15:14:08,691][__main__][INFO] - Env: LunarLanderContinuous-v3  state_dim: 8  action_dim: 2  max_a: 1.0  min_a: -1.0  max_e_steps: 1000
[2025-04-06 15:14:08,692][__main__][INFO] - Random Seed: 42
[2025-04-06 15:14:08,693][__main__][INFO] - Models will be saved to models/SAC_model/LLdV3
[2025-04-06 15:14:36,214][__main__][INFO] - EnvName: LLdV3, Steps: 1k, Episode Reward: -651
[2025-04-06 15:15:01,995][__main__][INFO] - EnvName: LLdV3, Steps: 2k, Episode Reward: -722
[2025-04-06 15:15:26,040][__main__][INFO] - EnvName: LLdV3, Steps: 3k, Episode Reward: -523
[2025-04-06 15:15:49,665][__main__][INFO] - EnvName: LLdV3, Steps: 4k, Episode Reward: -375
[2025-04-06 15:16:15,122][__main__][INFO] - EnvName: LLdV3, Steps: 5k, Episode Reward: -346
[2025-04-06 15:16:40,252][__main__][INFO] - EnvName: LLdV3, Steps: 6k, Episode Reward: -198
[2025-04-06 15:17:05,468][__main__][INFO] - EnvName: LLdV3, Steps: 7k, Episode Reward: -124
[2025-04-06 15:17:33,903][__main__][INFO] - EnvName: LLdV3, Steps: 8k, Episode Reward: -120
[2025-04-06 15:18:02,435][__main__][INFO] - EnvName: LLdV3, Steps: 9k, Episode Reward: -93
[2025-04-06 15:18:31,868][__main__][INFO] - EnvName: LLdV3, Steps: 10k, Episode Reward: -108
[2025-04-06 15:19:01,249][__main__][INFO] - EnvName: LLdV3, Steps: 11k, Episode Reward: -83
[2025-04-06 15:19:27,947][__main__][INFO] - EnvName: LLdV3, Steps: 12k, Episode Reward: -92
[2025-04-06 15:19:54,442][__main__][INFO] - EnvName: LLdV3, Steps: 13k, Episode Reward: -88
