[2025-04-17 14:10:12,236][__main__][INFO] - System information:
[2025-04-17 14:10:12,237][__main__][INFO] -   Platform: Linux-6.11.0-21-generic-x86_64-with-glibc2.39
[2025-04-17 14:10:12,237][__main__][INFO] -   Python: 3.12.2
[2025-04-17 14:10:12,237][__main__][INFO] -   PyTorch: 2.5.1
[2025-04-17 14:10:12,237][__main__][INFO] -   CUDA Available: True
[2025-04-17 14:10:12,237][__main__][INFO] -   CUDA Version: 12.4
[2025-04-17 14:10:12,237][__main__][INFO] -   GPU: NVIDIA GeForce GTX 1080 Ti
[2025-04-17 14:10:12,244][__main__][INFO] - Env: Pendulum-v1  state_dim: 3  action_dim: 1  max_a: 2.0  min_a: -2.0  max_e_steps: 200
[2025-04-17 14:10:12,246][__main__][INFO] - Random Seed: 42
[2025-04-17 14:10:12,247][__main__][INFO] - Models will be saved to models/SAC_model/PV1
[2025-04-17 14:10:57,000][__main__][INFO] - EnvName: PV1, Steps: 1k, Episode Reward: -1700
[2025-04-17 14:11:39,797][__main__][INFO] - EnvName: PV1, Steps: 2k, Episode Reward: -944
[2025-04-17 14:12:23,051][__main__][INFO] - EnvName: PV1, Steps: 3k, Episode Reward: -302
[2025-04-17 14:13:06,832][__main__][INFO] - EnvName: PV1, Steps: 4k, Episode Reward: -315
[2025-04-17 14:13:49,472][__main__][INFO] - EnvName: PV1, Steps: 5k, Episode Reward: -653
[2025-04-17 14:14:32,230][__main__][INFO] - EnvName: PV1, Steps: 6k, Episode Reward: -603
[2025-04-17 14:15:14,889][__main__][INFO] - EnvName: PV1, Steps: 7k, Episode Reward: -804
[2025-04-17 14:15:57,450][__main__][INFO] - EnvName: PV1, Steps: 8k, Episode Reward: -439
[2025-04-17 14:16:40,121][__main__][INFO] - EnvName: PV1, Steps: 9k, Episode Reward: -676
[2025-04-17 14:17:22,817][__main__][INFO] - EnvName: PV1, Steps: 10k, Episode Reward: -907
[2025-04-17 14:18:05,304][__main__][INFO] - EnvName: PV1, Steps: 11k, Episode Reward: -1124
[2025-04-17 14:18:47,726][__main__][INFO] - EnvName: PV1, Steps: 12k, Episode Reward: -798
[2025-04-17 14:19:29,780][__main__][INFO] - EnvName: PV1, Steps: 13k, Episode Reward: -1124
[2025-04-17 14:20:12,351][__main__][INFO] - EnvName: PV1, Steps: 14k, Episode Reward: -755
[2025-04-17 14:20:54,914][__main__][INFO] - EnvName: PV1, Steps: 15k, Episode Reward: -1159
[2025-04-17 14:21:37,169][__main__][INFO] - EnvName: PV1, Steps: 16k, Episode Reward: -1143
[2025-04-17 14:22:18,190][__main__][INFO] - EnvName: PV1, Steps: 17k, Episode Reward: -664
[2025-04-17 14:22:58,548][__main__][INFO] - EnvName: PV1, Steps: 18k, Episode Reward: -1219
[2025-04-17 14:23:39,626][__main__][INFO] - EnvName: PV1, Steps: 19k, Episode Reward: -1174
[2025-04-17 14:24:20,956][__main__][INFO] - EnvName: PV1, Steps: 20k, Episode Reward: -825
[2025-04-17 14:25:02,411][__main__][INFO] - EnvName: PV1, Steps: 21k, Episode Reward: -623
[2025-04-17 14:25:44,865][__main__][INFO] - EnvName: PV1, Steps: 22k, Episode Reward: -828
[2025-04-17 14:26:27,681][__main__][INFO] - EnvName: PV1, Steps: 23k, Episode Reward: -727
[2025-04-17 14:27:11,354][__main__][INFO] - EnvName: PV1, Steps: 24k, Episode Reward: -297
[2025-04-17 14:27:52,136][__main__][INFO] - EnvName: PV1, Steps: 25k, Episode Reward: -460
[2025-04-17 14:28:35,126][__main__][INFO] - EnvName: PV1, Steps: 26k, Episode Reward: -415
[2025-04-17 14:29:18,104][__main__][INFO] - EnvName: PV1, Steps: 27k, Episode Reward: -396
[2025-04-17 14:29:59,815][__main__][INFO] - EnvName: PV1, Steps: 28k, Episode Reward: -392
[2025-04-17 14:30:39,647][__main__][INFO] - EnvName: PV1, Steps: 29k, Episode Reward: -715
[2025-04-17 14:31:19,476][__main__][INFO] - EnvName: PV1, Steps: 30k, Episode Reward: -458
[2025-04-17 14:32:01,365][__main__][INFO] - EnvName: PV1, Steps: 31k, Episode Reward: -823
[2025-04-17 14:32:43,440][__main__][INFO] - EnvName: PV1, Steps: 32k, Episode Reward: -716
[2025-04-17 14:33:25,895][__main__][INFO] - EnvName: PV1, Steps: 33k, Episode Reward: -590
[2025-04-17 14:34:08,183][__main__][INFO] - EnvName: PV1, Steps: 34k, Episode Reward: -546
[2025-04-17 14:34:50,334][__main__][INFO] - EnvName: PV1, Steps: 35k, Episode Reward: -856
[2025-04-17 14:35:31,900][__main__][INFO] - EnvName: PV1, Steps: 36k, Episode Reward: -145
[2025-04-17 14:36:13,152][__main__][INFO] - EnvName: PV1, Steps: 37k, Episode Reward: -685
[2025-04-17 14:36:55,344][__main__][INFO] - EnvName: PV1, Steps: 38k, Episode Reward: -1022
[2025-04-17 14:37:37,506][__main__][INFO] - EnvName: PV1, Steps: 39k, Episode Reward: -587
[2025-04-17 14:38:20,425][__main__][INFO] - EnvName: PV1, Steps: 40k, Episode Reward: -552
[2025-04-17 14:39:03,474][__main__][INFO] - EnvName: PV1, Steps: 41k, Episode Reward: -768
[2025-04-17 14:39:46,866][__main__][INFO] - EnvName: PV1, Steps: 42k, Episode Reward: -252
[2025-04-17 14:40:29,671][__main__][INFO] - EnvName: PV1, Steps: 43k, Episode Reward: -421
[2025-04-17 14:41:11,952][__main__][INFO] - EnvName: PV1, Steps: 44k, Episode Reward: -439
[2025-04-17 14:41:53,176][__main__][INFO] - EnvName: PV1, Steps: 45k, Episode Reward: -196
[2025-04-17 14:42:34,695][__main__][INFO] - EnvName: PV1, Steps: 46k, Episode Reward: -482
[2025-04-17 14:43:18,490][__main__][INFO] - EnvName: PV1, Steps: 47k, Episode Reward: -154
[2025-04-17 14:44:03,356][__main__][INFO] - EnvName: PV1, Steps: 48k, Episode Reward: -145
[2025-04-17 14:44:48,202][__main__][INFO] - EnvName: PV1, Steps: 49k, Episode Reward: -83
[2025-04-17 14:45:34,077][__main__][INFO] - EnvName: PV1, Steps: 50k, Episode Reward: -154
[2025-04-17 14:45:34,082][__main__][INFO] - Training completed. Evaluating across 20 episodes
[2025-04-17 14:45:36,319][__main__][INFO] - Final evaluation - Mean: -178.75, Std: 100.42
[2025-04-17 14:45:36,319][__main__][INFO] - 90th percentile: -0.90, 10th percentile: -257.50
[2025-04-17 14:45:36,325][__main__][INFO] - Final model saved to models/SAC_model/PV1
