[2025-04-06 14:18:10,230][__main__][INFO] - System information:
[2025-04-06 14:18:10,230][__main__][INFO] -   Platform: Linux-6.11.0-21-generic-x86_64-with-glibc2.39
[2025-04-06 14:18:10,230][__main__][INFO] -   Python: 3.12.2
[2025-04-06 14:18:10,230][__main__][INFO] -   PyTorch: 2.5.1
[2025-04-06 14:18:10,230][__main__][INFO] -   CUDA Available: True
[2025-04-06 14:18:10,230][__main__][INFO] -   CUDA Version: 12.4
[2025-04-06 14:18:10,230][__main__][INFO] -   GPU: NVIDIA GeForce GTX 1080 Ti
[2025-04-06 14:18:10,237][__main__][INFO] - Env: LunarLanderContinuous-v3  state_dim: 8  action_dim: 2  max_a: 1.0  min_a: -1.0  max_e_steps: 1000
[2025-04-06 14:18:10,238][__main__][INFO] - Random Seed: 42
[2025-04-06 14:18:10,238][__main__][INFO] - Models will be saved to models/SAC_model/LLdV3
[2025-04-06 14:19:00,287][__main__][INFO] - EnvName: LLdV3, Steps: 1k, Episode Reward: -911
[2025-04-06 14:19:43,415][__main__][INFO] - EnvName: LLdV3, Steps: 2k, Episode Reward: -680
[2025-04-06 14:20:34,302][__main__][INFO] - EnvName: LLdV3, Steps: 3k, Episode Reward: -522
[2025-04-06 14:21:27,573][__main__][INFO] - EnvName: LLdV3, Steps: 4k, Episode Reward: -360
[2025-04-06 14:22:22,142][__main__][INFO] - EnvName: LLdV3, Steps: 5k, Episode Reward: -66
[2025-04-06 14:23:12,737][__main__][INFO] - EnvName: LLdV3, Steps: 6k, Episode Reward: -92
[2025-04-06 14:24:03,511][__main__][INFO] - EnvName: LLdV3, Steps: 7k, Episode Reward: -46
[2025-04-06 14:24:52,193][__main__][INFO] - EnvName: LLdV3, Steps: 8k, Episode Reward: -78
[2025-04-06 14:25:38,079][__main__][INFO] - EnvName: LLdV3, Steps: 9k, Episode Reward: -53
[2025-04-06 14:26:19,977][__main__][INFO] - EnvName: LLdV3, Steps: 10k, Episode Reward: -79
[2025-04-06 14:27:02,790][__main__][INFO] - EnvName: LLdV3, Steps: 11k, Episode Reward: -161
